category,name,address,postal_code,phone,phone2,website,email,hours,services,notes,rating,halal_status,languages
Community Centres,Elmbank Community Centre,10 Rampart Road,,,,,,,,"Fitness, arts, music production studio",,,
Community Centres,Rexdale Community Hub,"21 Panorama Court, M9V 4E3",M9V 4E3,,,rexdalehub.org,,,,"77,000 sq ft, 6 partner agencies, basketball, soccer, dance, yoga",,,
Community Fitness,Albion Pool and Health Club,,,,,,,,,,,,
Community Fitness,Rexdale Community Health Centre,,,,,,,,,,,,
Community Health Centres,Rexdale CHC - Dixon Road,Business | Address | Notes,M9P 3S5,416-744-9304,,,,,"HearingLife | 135 Queens Plate Dr, Suite 201 | Full services",,,,
Community Health Centres,Rexdale CHC - Hub,"15-21 Panorama Court, M9V 4E3",M9V 4E3,416-748-4635,,,,,,,,,
Community Health Centres,Rexdale Community Health Centre - Main Office,"8 Taber Road, Etobicoke, ON M9W 3A4",M9W 3A4,416-744-0066,,rexdalechc.com,,,"Family medicine, nurse practitioners, dietitians, physiotherapy, dental (free for eligible), mental health, diabetes education",,,,
Costume Shops,Maydwell Mascots Inc.,"222 Islington Ave #10, Etobicoke, ON M8V 3W7",M8V 3W7,(416) 214-1188,,woodbridgecostumes.com,,,"Costume rentals (thousands of options), costume sales, accessories, wigs, makeup, Christmas costumes",Since 1994; by appointment for viewings/fittings,,,
Coworking Spaces,Office146,"146 Thirtieth Street, Etobicoke, ON M8W 3C4",M8W 3C4,905-588-4907,,office146.com,,,### IT Services/Computer Repair,,,,
Coworking Spaces,WorkCo Etobicoke,,,,,workco.ca,,,"Virtual offices ($104/month), day passes ($26/day), dedicated desks, private offices",,,,
Coworking Spaces,ZEMLAR Offices - Etobicoke,,,,,zemlar.ca/pages/locations/etobicoke/,,,"Furnished private offices, coworking, virtual offices, one-day offices, meeting rooms",,,,
Credit Unions,DUCA Credit Union - Rexdale,,,,,,,,,,,,
Currency Exchange,Money Exchange World,,,416-746-4900,,,,Until 7-8pm,,,,,
Daymak / Ebike Universe \u2014 E-bike specialist near Rexdale,Products,"105 Queens Plate Drive, Unit 1, Etobicoke, ON M9W 7K4",M9W 7K4,(416) 747-1122,519-721-3274,urbanebike.ca,,"Mon\u2013Fri 11am\u20135pm, Sat 11am\u20134pm, Sunday closed","E-bike and traditional bicycle repairs, scooter repairs, tire replacements, brake adjustments, custom builds, pick up and drop off services",,"A+ BBB rating; mixed customer reviews (some excellent, some report service delays)",,
Dental Clinics,Albion Dental Care,"1620 Albion Rd Suite 302, M9V 4B4",M9V 4B4,Invisalign,,,,,Invisalign,,,,
Dental Clinics,Albion Dental Care,(416) 745-5445,,Emergency clinic for Etobicoke/Kipling/Martin Grove/Finch,,,,,Emergency clinic for Etobicoke/Kipling/Martin Grove/Finch,,,,
Dental Clinics,Aviva Dental,"680 Rexdale Blvd #17, M9W 0B5",M9W 0B5,"Braces, Invisalign",,,,,"Braces, Invisalign",,,,
Dental Clinics,Clinic,Phone,,Hours/Notes,,,,,Hours/Notes,,,,
Dental Clinics,DentalIS Clinic,(437) 264-1374,,Open 7 days/week,,,,,Open 7 days/week,,,,
Dental Clinics,Queen's Plate Dental,(416) 746-0045,,"Severe toothache, fractured teeth, infections",,,,,"Severe toothache, fractured teeth, infections",,,,
Dental Clinics,Rexdale Dental,"200 Queens Plate Dr C3, M9W 6Y9",M9W 6Y9,"Dr. Kifah (25 years)\u2014braces, orthodontic consultations",,,,,"Dr. Kifah (25 years)\u2014braces, orthodontic consultations",,,,
Dental Clinics,Rexdale Dental,(416) 744-7699,,Sat-Sun 8 AM\u20134 PM,,,,,Sat-Sun 8 AM\u20134 PM,,,,
Dental Clinics,West Humber Dentistry,"1701 Martin Grove Rd #10, M9V 4N4",M9V 4N4,"Traditional braces, Invisalign",,,,,"Traditional braces, Invisalign",,,,
Dental Clinics,West Humber Dentistry,(437) 372-5081,,Emergency dentistry available,,,,,Emergency dentistry available,,,,
Dental Clinics,Westway Dental,(416) 245-1554,,After-hours emergency for existing/new patients,,,,,After-hours emergency for existing/new patients,,,,
Dental Clinics,Woodbine Family Dental,"500 Rexdale Blvd, M9W 6K5",M9W 6K5,"Clear braces, Invisalign",,,,,"Clear braces, Invisalign",,,,
Dental Clinics,Woodbine Family Dental,(416) 675-0422,,Weekend hours Sat-Sun 10 AM\u20137 PM,,,,,Weekend hours Sat-Sun 10 AM\u20137 PM,,,,
Dental Specialists,Dentures Direct,,,,,denturesdirect.ca/rexdale-etobicoke,,,,,,,
Dental Specialists,Implant Specialists,,,,,,,,,,,,
Dental Specialists,Oral Surgeons,,,,,,,,,,,,
Dental Specialists,Periodontal Services,,,,,etobicokedentureclinic.ca,,Westway Dental | (416) 245-1554 | After-hours emergency for existing/new patients,### Emergency Dental Services,,,,
Dental Specialists,Rexdale Dental Office,,,416-744-7699,,rexdaledental.com,,,,,,,
Dental Specialists,West Humber Dentistry,,,,,westhumberdentistry.com,,,"Braces, Invisalign, dental implants; Saturday appointments",,,,
Dollar Stores,Dollarama - Albion Centre,,,,,,,,,,,,
Dollar Stores,Dollarama - Kipling,,,,,,,,,,,,
Dollar Stores,Dollarama - SmartCentres Rexdale,,,416-640-1564,,,,,,,,,
Dollar Stores,Dollarama - Woodbine Centre,,,416-798-4589,,,,"Mon-Fri 9:30am-9pm, Sat 9am-6pm, Sun 11am-5pm",,,,,
Driving Schools,All Star Driving School,"2267 Islington Ave #201, M9W 3W7",M9W 3W7,See website,,English,,,,,,,
Driving Schools,Assyrian Driving School,"964 Albion Rd, Unit 106, M9V 1A7",M9V 1A7,(416) 347-1762,,English,,,,,,,
Driving Schools,Best Canadian Driving School,"1790 Albion Rd, Unit 220, M9V 4J8",M9V 4J8,(416) 747-6374,,English,,,,,,,
Driving Schools,Lady Queen Driving Instructor,"1694 Albion Rd, M9V 1B8",M9V 1B8,Book online,,English (Female instructor),,,,,,,
Driving Schools,M2 and full M courses; motorcycles provided,,,,,,,,,,,,
Driving Schools,Pioneer Driver Education,"1735 Kipling Ave, M9R 2Y8",M9R 2Y8,See website,,English,,,,,,,
Driving Schools,Royal Canadian Driving School,"1111 Albion Rd, Suite 105, M9V 1A9",M9V 1A9,(416) 740-3637,,English,,,,,,,
Driving Schools,WOW Driving School,"245 Dixon Rd, Unit 111A",,(416) 246-1177,,English,,,,,,,
Dry Cleaners,All Way Dry Cleaners,"500 Rexdale Blvd, J-005A, Toronto, ON M9W 6K5",M9W 6K5,(647) 748-8955,,laundry-concierge.com,,10:00 AM \u2013 9:00 PM (follows mall hours),"Wash and fold, dry cleaning, shoe care",,,,
Dry Cleaners,One Hour J.C. Cleaners,"990 Albion Rd, Etobicoke, ON M9V 1A7",M9V 1A7,(416) 741-3820,,www.1hourjccleaners.com,990cleaners@gmail.com,Mon 9:00 AM \u2013 7:00 PM; Tue 9:00 AM \u2013 5:00 PM; Wed-Fri 9:00 AM \u2013 7:00 PM; Sat 10:00 AM \u2013 5:00 PM; Sun Closed,"Dry cleaning (delicate fabrics, everyday wear, tough materials), alterations & hemming, upholstery care (rugs, mats, furniture)",,,,
EDUCATION & CHILDCARE,All Nations Driving,"Flexible, free pickup",,,,,,,,,,,
EDUCATION & CHILDCARE,Kumon,"1530 Albion Rd, Unit 37M",,416.533.2020,,Math & reading,,,,Math & reading,,,
EDUCATION & CHILDCARE,Pioneer Driver Education,"Since 1988, 7 days/week",,,,,,,,,,,
EDUCATION & CHILDCARE,Rexdale Day Nursery,"925 Albion Rd, Suite 309",,\u2014,,"Ages 2.5-12, halal food, subsidies",,,,"Ages 2.5-12, halal food, subsidies",,,
EDUCATION & CHILDCARE,Rexdale Home Child Care Agency,Etobicoke,,\u2014,,Non-profit since 1982,,,,Non-profit since 1982,,,
EDUCATION & CHILDCARE,Road Ready Driving School,Near Humberwood Blvd,,,,,,,,,,,
EDUCATION & CHILDCARE,WOW Driving School,"MTO-approved, BDE course",,,,,,,,,,,
ENTERTAINMENT & RECREATION,Albion Cinemas,1530 Albion Rd,,"Bollywood films, 20 years",,,,,,,,,
ENTERTAINMENT & RECREATION,Curves,190 Queen's Plate Dr,,416-748-1600,,Women's fitness,,,,Women's fitness,,,
ENTERTAINMENT & RECREATION,Elite Banquet Halls,Rexdale area,,\u2014,,"Corporate, weddings",,,,"Corporate, weddings",,,
ENTERTAINMENT & RECREATION,Mr Fitness,"Rexdale, M9V 4A8",M9V 4A8,416-749-4202,,Exercise programs,,,,Exercise programs,,,
ENTERTAINMENT & RECREATION,New Century Fitness,335 Rexdale Blvd,,(647) 447-0435,,Personal training,,,,Personal training,,,
ENTERTAINMENT & RECREATION,Planet Fitness,180 Queens Plate Dr,,\u2014,,From $15/month,,,,From $15/month,,,
ENTERTAINMENT & RECREATION,Royal King Event Centre,181 Rexdale Blvd,,(416) 706-0004,,250-600,,,,250-600,,,
ENTERTAINMENT & RECREATION,Woodbine Banquet & Convention,30 Vice Regent Blvd,,416-743-0003,,"Up to 1,400",,,,"Up to 1,400",,,
ESL & Adult Education,Rexdale Women's Centre - English Classes,,,416-745-0062,,,,,,,,,
EarlyON Child and Family Centres,Braeburn Neighbourhood Place,,,416-745-3113,,,,,,,,,
EarlyON Child and Family Centres,George Hull Centre - EarlyON,,,416-622-8833,725,,,,,,,,
Electricians,Crown Electric Ltd.,,,905-847-2804,,crownelectricltd.ca,,,"Panel upgrades, EV chargers, home rewiring",,,,
Electricians,Hi-Lite Electric Inc.,,,,,hi-liteelectricinc.ca,,,,,,,
Electricians,Kiyan Electric,,,416-450-4030,,,Info@kiyanelectric.ca,,,,,,
Electronics,Best Buy Express - Albion Centre,,,844-763-0636,,,,,,,,,
Electronics,Best Buy Mobile - Woodbine Centre,,,,,,,,,,,,
Electronics,TechSource,,,647-352-2229,,,,,,,,,
Electronics,The Source - Woodbine Centre,,,416-674-4672,,,,,,,,,
Entertainment Venues,Bowlerama Rexdale,,,416-743-8388,,bowlerama.com,,"Mon-Thu 11am-1am, Fri-Sat 9am-2am/3am",,,,,
Entertainment Venues,Fantasy Fair - Indoor Amusement Park,,,437-880-8450,,fantasyfair.ca,,"Mon-Sat 11am-7pm, Sun 11am-6pm",,,,,
Equipment Rental,City Car & Truck Rental YYZ,"445 Rexdale Blvd, Toronto, ON M9W 6P8 (Comfort Hotel Lobby)",M9W 6P8,(416) 800-1222,1-888-777-9292,citycarandtruckrental.com,,"Mon-Fri 8am-8pm, Sat 8am-6pm, Sun 9am-6pm","12-seater vans, minivans, SUVs, moving trucks, cargo vans, compact cars",Free airport shuttle from Pearson (5 min),,,
Equipment Rental,Cooper Equipment Rentals - Toronto Etobicoke (Rexdale),,,(416) 744-5000,1-800-315,cooperequipment.ca/locations/toronto-etobicoke/,,,"Compact equipment (excavators, skid steers), aerial equipment (boom/scissor lifts), heavy construction, trench safety, pump/power equipment, general tools, work zone safety",Canadian-owned since 1972; cornerstone branch; highly rated,,,
Equipment Rental,Home Depot - Etobicoke Tool Rental,"1983 Kipling Avenue, Etobicoke, ON",,,,,,"Tool Rental Hours: Mon-Fri 7am-5pm, Sat 8am-6pm","Power tools, carpet cleaners, garden tools, generators, moving trucks",,,,
European Bakeries,TreRose Bakery,,,416-747-5343,,trerosebakery.ca,trerosebakery@hotmail.com,"9am-8pm, 7 days/week",,,,,
FINANCIAL SERVICES,BMO,1530 Albion Rd (Albion Centre),,\u2014,,"Full service, ATM",,,,"Full service, ATM",,,
FINANCIAL SERVICES,CIBC,291 Rexdale Blvd,,(416) 249-5013,,Full service,,,,Full service,,,
FINANCIAL SERVICES,CIBC,2291 Kipling Ave,,(416) 742-8081,,Full service,,,,Full service,,,
FINANCIAL SERVICES,CIBC,1530 Albion Rd,,(416) 741-2102,,Albion Centre,,,,Albion Centre,,,
FINANCIAL SERVICES,Cash 4 You,2291 Kipling Ave,,\u2014,,Payday loans,,,,Payday loans,,,
FINANCIAL SERVICES,Cash Money,276 Rexdale Blvd,,(416) 745-1749,,Rexdale/Martingrove,,,,Rexdale/Martingrove,,,
FINANCIAL SERVICES,Cash Money,1530 Albion Rd,,\u2014,,Albion Centre,,,,Albion Centre,,,
FINANCIAL SERVICES,Cash Shop,680 Rexdale Blvd,,(416) 679-0499,,Western Union,,,,Western Union,,,
FINANCIAL SERVICES,Credit Union,Address,,Notes,,,,,,,,,
FINANCIAL SERVICES,DUCA Financial,2184 Kipling Ave,,Rexdale Branch,,,,,,,,,
FINANCIAL SERVICES,Money Mart,130 Rexdale Blvd,,1-800-361-1407,,"Loans, Western Union",,,,"Loans, Western Union",,,
FINANCIAL SERVICES,Money Mart,1620 Albion Rd,,(416) 746-2439,,Full services,,,,Full services,,,
FINANCIAL SERVICES,MoneyGram,2110 Kipling Ave,,Money transfer,,,,,,,,,
FINANCIAL SERVICES,MoneyGram,968 Albion Rd,,Money transfer,,,,,,,,,
FINANCIAL SERVICES,MoneyGram,Shoppers/Canada Post,,Various,,,,,,,,,
FINANCIAL SERVICES,Parama Credit Union,Etobicoke area,,Community-based,,,,,,,,,
FINANCIAL SERVICES,RBC,1104 Albion Rd,,(416) 749-3200,,Transit #5142,,,,Transit #5142,,,
FINANCIAL SERVICES,RBC,1755 Albion Rd,,\u2014,,Additional location,,,,Additional location,,,
FINANCIAL SERVICES,RBC,2687 Kipling Ave,,\u2014,,Full service,,,,Full service,,,
FINANCIAL SERVICES,Scotiabank,106 Humber College Blvd,,\u2014,,Campus location,,,,Campus location,,,
FINANCIAL SERVICES,Scotiabank,2251 Islington Ave N,,(416) 744-6100,,Full service,,,,Full service,,,
FINANCIAL SERVICES,Service,Location,,Notes,,,,,,,,,
FINANCIAL SERVICES,TD Canada Trust,2038 Kipling Ave,,\u2014,,"Hindi, Punjabi, Swahili",,,,"Hindi, Punjabi, Swahili",,,
FINANCIAL SERVICES,TD Canada Trust,500 Rexdale Blvd,,(416) 798-3800,,Woodbine Centre,,,,Woodbine Centre,,,
FINANCIAL SERVICES,Western Union,"Cash Express, 4 Rexdale Blvd",,Money transfer,,,,,,,,,
FINANCIAL SERVICES,Western Union,Money Mart locations,,Multiple,,,,,,,,,
FINANCIAL SERVICES,Western Union,"TD Bank, 500 Rexdale Blvd",,At bank,,,,,,,,,
FOOD & RESTAURANTS,24 Seven Lounge,Corner plaza,,\u2014,,Authentic African meals,,,,Authentic African meals,,,
FOOD & RESTAURANTS,A&W,"1530 Albion Road, Unit P002",,\u2014,,"Burgers, breakfast",,,,"Burgers, breakfast",,,
FOOD & RESTAURANTS,African Village,18 Rexdale Blvd,,\u2014,,"Nigerian Jollof, Egusi",,,,"Nigerian Jollof, Egusi",,,
FOOD & RESTAURANTS,Albion Sweets & Restaurant,2658 Islington Ave,,(416) 748-7108,,Indian vegetarian thali,,,,Indian vegetarian thali,,,
FOOD & RESTAURANTS,Ali Baba's,229 Rexdale Blvd,,\u2014,,Full Middle Eastern menu,,,,Full Middle Eastern menu,,,
FOOD & RESTAURANTS,Asian Buffet,161 Rexdale Blvd,,(416) 747-9292,,Chinese buffet,,,,Chinese buffet,,,
FOOD & RESTAURANTS,Authentic Jamaican Jerk,Kipling/Rexdale area,,\u2014,,"Woman-owned, family recipes",,,,"Woman-owned, family recipes",,,
FOOD & RESTAURANTS,Baghlan Kabob,32 Rexdale Blvd,,(416) 401-0120,,"Afghan kebabs, daily specials",,,,"Afghan kebabs, daily specials",,,
FOOD & RESTAURANTS,Brar Sweets & Restaurant,2646 Islington Ave,,\u2014,,"Sweets, buffet",,,,"Sweets, buffet",,,
FOOD & RESTAURANTS,Burger King,6630 Finch Ave W,,\u2014,,Flame-grilled,,,,Flame-grilled,,,
FOOD & RESTAURANTS,Da House of Jerk,680 Rexdale Blvd,,\u2014,,Signature jerk chicken,,,,Signature jerk chicken,,,
FOOD & RESTAURANTS,Dairy Queen,2620 Islington Ave,,"Blizzards, ice cream cakes",,,,,,,,,
FOOD & RESTAURANTS,Domino's Pizza,1046 Albion Rd,,\u2014,,Delivery,,,,Delivery,,,
FOOD & RESTAURANTS,Faley Restaurant,42 Rexdale Blvd,,(416) 746-4948,,"Halal Hakka, lunch specials",,,,"Halal Hakka, lunch specials",,,
FOOD & RESTAURANTS,Golden Asian Cuisine,123 Rexdale Blvd,,(416) 749-5898,,Indian-Hakka-Chinese,,,,Indian-Hakka-Chinese,,,
FOOD & RESTAURANTS,Hamdi Restaurant,18 Rexdale Blvd,,(416) 745-7888,,"Est. 1996, goat, T-bone, catering",,,,"Est. 1996, goat, T-bone, catering",,,
FOOD & RESTAURANTS,Harvey's,269 Rexdale Blvd,,(416) 746-2057,,Swiss Chalet combo,,,,Swiss Chalet combo,,,
FOOD & RESTAURANTS,Holy Shakes,Near Costco,,"Gourmet shakes, fusion",,,,,,,,,
FOOD & RESTAURANTS,Istar Restaurant,Dixon Road area,,\u2014,,"24 hours, est. 1999",,,,"24 hours, est. 1999",,,
FOOD & RESTAURANTS,KFC,2032 Kipling Ave,,\u2014,,Fried chicken,,,,Fried chicken,,,
FOOD & RESTAURANTS,Lazeez Shawarma,1735 Kipling Ave,,\u2014,,"Shawarma, kebabs",,,,"Shawarma, kebabs",,,
FOOD & RESTAURANTS,Lemongrass,847 Albion Rd,,\u2014,,"Thai, gluten-free options",,,,"Thai, gluten-free options",,,
FOOD & RESTAURANTS,Little Caesars,"900 Albion Rd, B14",,\u2014,,Budget pizza,,,,Budget pizza,,,
FOOD & RESTAURANTS,Little Kabul Kabob,2068 Kipling Ave,,\u2014,,Afghan cuisine,,,,Afghan cuisine,,,
FOOD & RESTAURANTS,Ludo Restaurant & Lounge,54 Rexdale Blvd,,\u2014,,Afro-Fusion,,,,Afro-Fusion,,,
FOOD & RESTAURANTS,McDonald's,2116 Kipling Ave N,,(416) 743-8100,,"Full menu, breakfast",,,,"Full menu, breakfast",,,
FOOD & RESTAURANTS,Moga's Pizza,982 Albion Rd,,\u2014,,"Independent, quality",,,,"Independent, quality",,,
FOOD & RESTAURANTS,Mushkaki,"145 Rexdale Blvd, Unit 1",,(416) 747-6874,,"Somali fusion, burgers, mango shakes",,,,"Somali fusion, burgers, mango shakes",,,
FOOD & RESTAURANTS,Osmow's Shawarma,6640 Finch Ave W,,(416) 213-1121,,"Plates, wraps",,,,"Plates, wraps",,,
FOOD & RESTAURANTS,Oven Fresh Bakery,Etobicoke,,"Hand-made bread, cakes, 30+ years",,,,,,,,,
FOOD & RESTAURANTS,Pizza Hut,1630 Albion Road,,\u2014,,Stuffed crust,,,,Stuffed crust,,,
FOOD & RESTAURANTS,Pizza Pizza,1045 Albion Rd,,(416) 967-1111,,Multiple locations,,,,Multiple locations,,,
FOOD & RESTAURANTS,Pizza Pizza,1530 Albion Rd,,\u2014,,Mall location,,,,Mall location,,,
FOOD & RESTAURANTS,Popeyes,80-1530 Albion Rd,,\u2014,,Louisiana fried chicken,,,,Louisiana fried chicken,,,
FOOD & RESTAURANTS,Preet Sweets,1056 Albion Rd,,(416) 740-4489,,Indian sweets,,,,Indian sweets,,,
FOOD & RESTAURANTS,Ralph's West Indian Delights,Finch West,,\u2014,,"Oxtail, red pea soup, bakery",,,,"Oxtail, red pea soup, bakery",,,
FOOD & RESTAURANTS,Ralph's West Indian Delights,Finch area,,Caribbean bakery,,,,,,,,,
FOOD & RESTAURANTS,Roll Me Up Ice Cream,231 Rexdale Blvd,,"Thai rolled ice cream, waffles",,,,,,,,,
FOOD & RESTAURANTS,Roti Roti Family Restaurant,979 Albion Rd,,(416) 745-9208,,"Trinidadian roti, goat, doubles",,,,"Trinidadian roti, goat, doubles",,,
FOOD & RESTAURANTS,Salaama Hut,1987 Kipling Ave,,(416) 744-7413,,"Somali breakfast, popular with drivers",,,,"Somali breakfast, popular with drivers",,,
FOOD & RESTAURANTS,Shelby's Shawarma,2140 Kipling Ave,,(416) 521-3062,,"100% halal, 10am-2am",,,,"100% halal, 10am-2am",,,
FOOD & RESTAURANTS,Sido Shawarma,936 Dixon Rd,,(416) 213-8047,,Traveler's Choice award,,,,Traveler's Choice award,,,
FOOD & RESTAURANTS,Sisi's Kitchen,20 Lockport Ave,,(647) 667-4777,,Nigerian haute cuisine,,,,Nigerian haute cuisine,,,
FOOD & RESTAURANTS,Skcookks,235 Dixon Rd,,(416) 247-5624,,"Eforiro, Ayamase, Jollof Rice",,,,"Eforiro, Ayamase, Jollof Rice",,,
FOOD & RESTAURANTS,South Indian Restaurant,1123 Albion Rd,,\u2014,,"Masala dosa, idli",,,,"Masala dosa, idli",,,
FOOD & RESTAURANTS,Spotlight Caribbean Kitchen,Rexdale area,,\u2014,,"Jerk chicken, goat roti, ackee",,,,"Jerk chicken, goat roti, ackee",,,
FOOD & RESTAURANTS,Subway,285 Rexdale Blvd,,\u2014,,Sandwiches,,,,Sandwiches,,,
FOOD & RESTAURANTS,Subway,1961 Finch Ave W,,\u2014,,Open 24 hours,,,,Open 24 hours,,,
FOOD & RESTAURANTS,Tandoori Time,1727 Albion Rd,,\u2014,,"25+ years, butter chicken, biryani",,,,"25+ years, butter chicken, biryani",,,
FOOD & RESTAURANTS,Taudo's,50A Rexdale Blvd,,(416) 887-6760,,"Jamaican seafood, jerk chicken, curry goat, oxtail",,,,"Jamaican seafood, jerk chicken, curry goat, oxtail",,,
FOOD & RESTAURANTS,Tim Hortons,2281 Kipling Ave,,\u2014,,Multiple locations,,,,Multiple locations,,,
FOOD & RESTAURANTS,Tim Hortons,135 Rexdale Blvd,,\u2014,,Full menu,,,,Full menu,,,
FOOD & RESTAURANTS,Tre Rose Bakery,Kipling/Etobicoke,,"Italian baked goods, 25+ years",,,,,,,,,
FOOD & RESTAURANTS,Wendy's,2136 Kipling Ave,,\u2014,,"Burgers, Frosty",,,,"Burgers, Frosty",,,
FOOD & RESTAURANTS,Xawaash,145 Rexdale Blvd,,\u2014,,Somali-Mediterranean fusion,,,,Somali-Mediterranean fusion,,,
Fabric Stores,Fabric House - Woodbine Mall,,,416-674-5200,,,,,,,,,
Financial Advisors/Investment Services,CIBC - 1530 Albion Road,"1530 Albion Rd, Etobicoke, ON M9V 1B4",M9V 1B4,,,,,,"Financial planning, investments, RRSPs, TFSAs",,,,
Financial Advisors/Investment Services,CIBC Imperial Service - 291 Rexdale Boulevard,"291 Rexdale Blvd, Etobicoke, ON M9W 1R8",M9W 1R8,(416) 242-5660,,,,,"Financial planning, investments, RRSPs, TFSAs, retirement planning",,,,Multiple languages
Financial Advisors/Investment Services,Desjardins Financial Security - Rexdale #278,"Rexdale area, Etobicoke, ON M9W 5Z8",M9W 5Z8,,,,,,"Life insurance, investments, RRSPs, retirement planning, wealth management",,,,
Financial Advisors/Investment Services,RBC Royal Bank - Rexdale & Kipling Branch,"129 Rexdale Blvd, Etobicoke, ON",,416-743-8666,,,,,"Financial advisory, investments, mortgages",,,,"English, Hindi, Italian, Persian/Farsi"
Fire Stations,Toronto Fire Station 415,,,416-338-9050,,,,,,,,,
Fire Stations,Toronto Fire Station 441,,,416-338-9050,,,,,,,,,
Fitness Facilities,GoodLife Fitness - Etobicoke,,,,,,,,,,,,
Fitness Facilities,Planet Fitness Etobicoke,,,,,,,,,,,,
Free Community Programs,Rexdale Community Health Centre - After-School Program,,,,,,,,,,,,
Free Community Programs,Rexdale Women's Centre Youth Hub,,,,,,,,,,,,
Funeral Homes,Glendale Memorial Gardens,"1810 Albion Rd, M9W 5T1",M9W 5T1,(416) 679-1803,,"62 acres, combined with funeral home",,,,,,,
Funeral Homes,Riverside Cemetery,"1567 Royal York Rd, M9P 3C4",M9P 3C4,(416) 241-0861,,"Est. 1892, cremation services",,,,,,,
Funeral Homes,Sharon Cemetery (Historic),Rexdale Blvd near Hwy 27,,N/A,,"Est. 1842, heritage site",,,,,,,
Furniture Stores,Dreamland Home Furnishings,,,,,,,,,,,,
Furniture Stores,The Fine Furniture - Woodbine Centre,,,416-913-8289,,,,"Mon-Fri 10am-8pm, Sat 10am-6pm, Sun 12pm-5pm",,,,,
GAS STATIONS & AUTOMOTIVE,409 Collision Centre,147 Belfield Rd,,\u2014,,Collision repair,,,,Collision repair,,,
GAS STATIONS & AUTOMOTIVE,Abrams Towing,\u2014,,"Heavy duty, GTA-wide",,,,,,,,,
GAS STATIONS & AUTOMOTIVE,Active Green & Ross,104 Rexdale Blvd,,(647) 799-3786,,"Tire sales, auto service",,,,"Tire sales, auto service",,,
GAS STATIONS & AUTOMOTIVE,Active Green & Ross,2082 Kipling Ave,,\u2014,,Pirelli dealer,,,,Pirelli dealer,,,
GAS STATIONS & AUTOMOTIVE,Avtar Auto Repair,1266 Martin Grove Rd,,(416) 742-4252,,General repair,,,,General repair,,,
GAS STATIONS & AUTOMOTIVE,Canadian Tire,2025 Kipling Ave,,(416) 743-6950,,"Full parts, tools",,,,"Full parts, tools",,,
GAS STATIONS & AUTOMOTIVE,Canadian Tire,1530 Albion Road,,\u2014,,Albion Centre,,,,Albion Centre,,,
GAS STATIONS & AUTOMOTIVE,Canadian Tire Auto,2025 Kipling Ave,,(416) 743-6950,,Full tire service,,,,Full tire service,,,
GAS STATIONS & AUTOMOTIVE,Canadian Tire Auto Service,2025 Kipling Ave,,(416) 743-6950,,Full service,,,,Full service,,,
GAS STATIONS & AUTOMOTIVE,Canadian Tire Gas+,2025 Kipling Ave,,(416) 743-6950,,At Rexdale Blvd,,,,At Rexdale Blvd,,,
GAS STATIONS & AUTOMOTIVE,Canadian Tire Gas+,1666 Albion Rd,,(416) 745-1947,,At Martin Grove,,,,At Martin Grove,,,
GAS STATIONS & AUTOMOTIVE,Crosstown Car Wash,1760 Albion Rd,,"Free vacuums, memberships",,,,,,,,,
GAS STATIONS & AUTOMOTIVE,Delta Tire,64 Racine Rd,,\u2014,,Tire services,,,,Tire services,,,
GAS STATIONS & AUTOMOTIVE,East Mall Auto Service,1057 Martin Grove Rd,,\u2014,,"35+ years, towing",,,,"35+ years, towing",,,
GAS STATIONS & AUTOMOTIVE,Esso,305 Rexdale Blvd,,(416) 741-9117,,"Propane, free vacuums",,,,"Propane, free vacuums",,,
GAS STATIONS & AUTOMOTIVE,Esso,6897 Finch Ave W,,\u2014,,24 hours,,,,24 hours,,,
GAS STATIONS & AUTOMOTIVE,Etobicoke Towing,(647) 812-1477,,24/7 roadside assistance,,,,,,,,,
GAS STATIONS & AUTOMOTIVE,Fix Auto Rexdale,58 Racine Rd,,(416) 298-3338,,"Collision, lifetime warranty",,,,"Collision, lifetime warranty",,,
GAS STATIONS & AUTOMOTIVE,Maaco Auto Body,150 Rexdale Blvd,,\u2014,,"Painting, repairs",,,,"Painting, repairs",,,
GAS STATIONS & AUTOMOTIVE,Master Mechanic Rexdale,Finch Ave area,,\u2014,,All makes/models,,,,All makes/models,,,
GAS STATIONS & AUTOMOTIVE,Mobil 1 Lube Express,355 Rexdale Blvd,,\u2014,,Synthetic/conventional,,,,Synthetic/conventional,,,
GAS STATIONS & AUTOMOTIVE,Mr Oil Change,"330 Rexdale Blvd, Unit 1",,(416) 749-1333,,Full service,,,,Full service,,,
GAS STATIONS & AUTOMOTIVE,NAPA Auto Parts,35 Woodbine Downs Blvd,,(416) 746-8450,,Full selection,,,,Full selection,,,
GAS STATIONS & AUTOMOTIVE,PK Towing,\u2014,,"24/7, battery boost, locksmith",,,,,,,,,
GAS STATIONS & AUTOMOTIVE,Petro-Canada,110 Rexdale Blvd,,(416) 743-8377,,"24 hours, car wash, propane",,,,"24 hours, car wash, propane",,,
GAS STATIONS & AUTOMOTIVE,Petro-Canada,288 Rexdale Blvd,,\u2014,,Full service,,,,Full service,,,
GAS STATIONS & AUTOMOTIVE,Petro-Canada,524 Rexdale Blvd,,(416) 674-8619,,24 hours,,,,24 hours,,,
GAS STATIONS & AUTOMOTIVE,Petro-Canada,1345 Martin Grove Rd,,\u2014,,"Propane, restaurant",,,,"Propane, restaurant",,,
